Time (s);Position X (m);Position Y (m);Distance (m);Speed X (m/s);Speed Y (m/s);Speed (m/s)
22.5;-55.05875021332312;-0.1385706800670884;55.058924588902784;-1.482706276717846;-0.01847609067561179;1.5156434653193118
23.400000000000002;-56.67540814743916;-0.4157120402012652;56.676932743217336;-1.3348975513129517;-0.041571204020126526;1.3690862234824237
24.3;-58.80015857513451;-0.6466631736464126;58.80371435310115;-1.2656122112794073;-0.01847609067561179;1.3021467283284827
25.2;-60.878718776140836;-0.3233315868232063;60.879577389626164;-1.2378980752659898;0.027714136013417677;1.2827023050123505
26.1;-62.911088750458134;0.2771413601341768;62.911699191021036;-1.2933263472928254;0.05080924935793242;1.3402193849479942
27.0;-65.12821963153155;0.6004729469573831;65.13098771040586;-1.482706276717846;0.027714136013417677;1.5300890345552467
27.900000000000002;-67.94582345956235;0.4157120402012652;67.94709517042197;-1.8337519995544702;0.01847609067561179;1.875653289594463
28.8;-71.73342204806276;0.5080924935793242;71.73522145158213;-2.3464635158026965;0.009238045337805912;2.3734173344965073
29.7;-76.814346983856;0.5080924935793242;76.8160273675895;-2.840698941375313;0.04157120402012652;2.863911022912168
30.6;-82.17241327978343;0.6466631736464126;82.17495772730082;-3.2425539135698687;0.0692853400335442;3.2606709841490193
31.5;-87.48428934902181;0.5542827202683536;87.48604524286921;-3.6998371577912605;0.13395165739818543;3.716698000845826
32.4;-93.67377972535176;0.9238045337805894;93.67833486377923;-3.9354073139053107;0.1662848160805061;3.951111900852856
33.300000000000004;-98.15423171418762;1.0161849871586484;98.1594918249405;-4.166358447350458;0.08314240804025305;4.182495058791359
34.2;-102.54230324964541;0.5080924935793242;102.54356202962853;-4.4619758981602455;0.03695218135122358;4.469619880499109
35.1;-107.5308477320606;0.6466631736464126;107.53279214842212;-4.697546054274296;0.01847609067561179;4.703054721431065
36.0;-112.10368017427452;0.785233853713501;112.10643023850616;-4.808402598327968;0.08314240804025305;4.816013876848125
36.9;-116.02984944284202;1.2471361206037956;116.03655161298056;-4.882306961030414;0.04157120402012652;4.890958883720932
37.800000000000004;-120.55649165836691;0.9238045337805894;120.56003108738203;-4.845354779679191;0.05542827202683535;4.8542104387304645
38.7;-125.26789478064791;1.0623752138476776;125.27239960929332;-4.7391172582944225;0.08314240804025304;4.749800583299859
39.6;-129.56358586272765;1.478087254048943;129.57201674566537;-4.6513558275852676;0.12471361206037956;4.663136078173335
40.5;-133.99784762487448;1.8014188408721492;134.00995589111776;-4.503547102180373;0.09238045337805893;4.514247925446716
41.4;-138.7092507471555;1.8476090675611787;138.72155529009828;-4.5543563515383045;0.06466631736464123;4.565303979916063
42.300000000000004;-143.69779522957066;1.6628481608050607;143.7074160154775;-4.619022668902946;0.09238045337805893;4.62756792930671
43.2;-148.73252993867487;1.4318970273599134;148.73942245099576;-4.508166124849275;0.06928534003354418;4.516628924234841
44.1;-152.61250898055334;1.3395165739818544;152.61838749636772;-4.57745146488282;0.06928534003354418;4.585886655155896
45.0;-157.87819482310272;1.478087254048943;157.8851137458252;-4.679069963598684;0.027714136013417677;4.684819002588357
45.9;-162.82054907882886;1.5242774807379724;162.82768383837438;-4.729879212956616;0.05080924935793241;4.734559711013492
46.800000000000004;-167.85528378793308;1.4318970273599134;167.86139110773658;-4.826878689003578;0.05542827202683538;4.831655795550267
47.7;-173.5366816706837;1.6166579341160314;173.54421185435183;-4.979306437077378;0.03233315868232063;4.9823699188249915
48.6;-179.35665023350143;1.8014188408721492;179.36569653315212;-5.025496663766407;0.0092380453378059;5.027470038791662
49.5;-184.25281426253855;1.8937992942502082;184.26254649122927;-5.039353731773113;0.03695218135122356;5.042381042159912
50.4;-189.10278806488662;2.2171308810734143;189.11578496587015;-5.076305913124338;0.09699947604696191;5.080601447309968
51.300000000000004;-194.46085436081404;2.63284292127468;194.4786768275274;-4.914640119712738;0.2078560201006326;4.929493091393626
52.2;-197.87893113580225;3.5104572283662394;197.91006719568298;-5.043972754442018;0.21247504276953552;5.058736385200514
53.1;-203.05223652497352;3.46426700167721;203.08178624301271;-4.877687938361513;0.22171308810734142;4.89300873995897
54.0;-206.65507420671784;3.6952181351223574;206.68810883176175;-4.923878165050541;0.22633211077624438;4.93925633478655
54.9;-212.05933072933428;3.7875985885004164;212.09315324272208;-4.9562113237328616;0.25404624678966203;4.971823206540589
55.800000000000004;-217.4173970252617;3.972359495256534;217.45368281360476;-4.873068915692611;0.23095113344514728;4.8884024484970725
56.7;-222.2673708276098;3.9261692685675045;222.30204438948294;-4.665212895591975;0.18937992942502083;4.680965365376086
57.6;-226.00877918942118;3.6952181351223574;226.03898537145903;-4.554356351538305;0.16628481608050608;4.570275075893393
58.5;-229.7963777779216;3.556647455055269;229.82389993421663;-4.5913085328895304;0.14780872540489431;4.60633459113888
59.4;-235.01587339378193;3.6952181351223574;235.0449220555685;-4.55897537420721;0.06928534003354417;4.573745398172427
60.300000000000004;-240.05060810288614;3.3256963216101214;240.07364433979208;-4.752974326301131;-0.027714136013417656;4.756737119099148
61.2;-245.40867439881356;3.233315868232063;245.4299733155807;-4.66983191826088;-0.06928534003354421;4.676024105376195
62.1;-249.75055570758232;2.771413601341768;249.76593204357533;-4.845354779679189;-0.10623752138476776;4.850986653941442
63.0;-255.10862200350974;2.63284292127468;255.1222077404821;-4.706784099612102;-0.1662848160805061;4.715536365285361
63.9;-259.1271717254553;2.1247504276953553;259.13588267704955;-4.711403122281004;-0.20323699743172963;4.720152667681608
64.8;-264.53142824807173;1.9399895209392375;264.53854178608094;-4.748355303632229;-0.2078560201006326;4.757164600397711
65.7;-269.7509238639321;1.8476090675611787;269.75725121803754;-4.9192591423816365;-0.18937992942502083;4.927375876518721
66.60000000000001;-275.20137061323754;1.8014188408721492;275.20726643249225;-5.0716868904554335;-0.170903838749409;5.0795703087331265
67.5;-280.51324668247594;1.8476090675611787;280.51933128326493;-5.071686890455436;-0.20323699743172968;5.079713305833091
68.4;-285.7327422983363;1.6628481608050607;285.73758080681887;-4.910021097043829;-0.17552286141831194;4.916818105995838
69.3;-289.15081907332444;1.570467707427002;289.15508389027934;-4.8961640290371236;-0.20323699743172968;4.904187812475444
70.2;-294.3703146891848;1.2009458939147661;294.37276443524763;-4.9608303464017665;-0.18476090675611784;4.967173359313107
71.10000000000001;-299.3588591716;0.9238045337805894;299.3602845725172;-4.993163505084087;-0.21247504276953558;5.000846229157791
72.0;-305.0402570543506;0.5080924935793242;305.04068020801145;-5.173305389171299;-0.21709406543843848;5.180422253336102
72.9;-310.8602256171683;-0.046190226689029466;310.86022904883447;-5.191781479846912;-0.26328429212746796;5.2023111950299565
73.8;-316.44924304654086;-0.692853400335442;316.4500015335172;-5.099401026468854;-0.2725223374652739;5.110246147132733
74.7;-320.7449341286206;-0.8776143070915599;320.7461347795873;-5.099401026468854;-0.346426700167721;5.115853871492001
75.60000000000001;-326.1953808779261;-1.6628481608050607;326.1996192059414;-4.9562113237328616;-0.429569108207974;4.98051016861001
76.5;-330.07535991980455;-2.4480820145185618;330.0844381847444;-4.923878165050541;-0.5034734709104212;4.956489025216564
77.4;-334.9715239488417;-3.371886548299151;334.9884945419828;-5.09016298113105;-0.5496636975994506;5.12566344393632
78.3;-340.05244888463494;-3.9261692685675045;340.07511346401503;-5.030115686435306;-0.5912349016195773;5.0709366914201475
79.2;-344.67147155353786;-4.7114031222810056;344.7036707409161;-4.868449893023706;-0.5727588109439654;4.908628178820291
80.10000000000001;-348.04335810183704;-4.8037835756590646;348.0765080487986;-4.799164552990163;-0.5819968562817713;4.840404803431718
81.0;-353.03190258425224;-5.311876069238389;353.0718627554905;-4.780688462314555;-0.5635207656061595;4.8205054767022615
81.9;-358.66711024031383;-5.681397882750624;358.7121049672558;-4.688308008936491;-0.5358066295927417;4.725857598441736
82.8;-363.33232313590577;-6.05091969626286;363.38270551101476;-4.697546054274295;-0.5450446749305478;4.735572804306494
83.7;-367.7203946713636;-6.328061056397037;367.77484010464457;-4.522023192855983;-0.4849973802348093;4.55488426068863
84.60000000000001;-371.4156128064859;-6.512821963153154;371.47271001560966;-4.577451464882818;-0.39723594952565344;4.602542669733446
85.5;-375.84987456863274;-6.420441509775096;375.9047090453077;-4.568213419545015;-0.29561745080978863;4.584754520175011
86.4;-380.65365814429185;-6.328061056397037;380.70625397458986;-4.512785147518178;-0.22171308810734147;4.526688736008985
87.3;-385.1803003598167;-6.143300149640919;385.2292874665778;-4.55897537420721;-0.12009458939147662;4.566776631726851
88.2;-390.26122529560996;-5.912349016195772;390.3060079477642;-4.646736804916361;-0.06004729469573826;4.6574382680531095
89.10000000000001;-394.51072615100065;-5.404256522616447;394.54773987028756;-4.591308532889525;0.0461902266890295;4.602880003355196
90.0;-398.9449879131475;-4.849973802348094;398.97446738720623;-4.591308532889525;0.14780872540489431;4.605367983284027
90.9;-404.5801955692091;-4.203310628701681;404.60202973670414;-4.669831918260883;0.23557015611405027;4.684793309108554
91.8;-410.0306423185146;-3.6952181351223574;410.04729273243566;-4.748355303632229;0.3371886548299151;4.767694603604504
92.7;-415.20394770768587;-2.956174508097886;415.2144712793246;-4.757593348970039;0.4110930175323622;4.780505277487844
93.60000000000001;-418.9915462961863;-2.4018917878295323;418.99843072716834;-4.813021620996875;0.4849973802348094;4.842718406379562
94.5;-423.9800907786015;-1.570467707427002;423.982999358997;-4.706784099612099;0.5773778336128683;4.74994657988232
95.4;-427.72149914041285;-0.5542827202683536;427.72185828673304;-4.720641167618811;0.6466631736464125;4.77160976258913
96.3;-432.38671203600484;0.3233315868232063;432.38683292697755;-4.7437362809633274;0.6697582869909272;4.796184746492695
97.2;-437.69858810524323;0.785233853713501;437.6992924617635;-4.609784623565145;0.6928534003354418;4.6684444039871815
98.10000000000001;-440.6085723866521;1.5242774807379724;440.61120898411326;-4.688308008936491;0.6466631736464125;4.74359869616224
99.0;-445.8280680025124;1.6166579341160314;445.8309991484764;-4.605165600896237;0.5727588109439653;4.656846880007503
99.9;-450.63185157817145;1.5242774807379724;450.63442953086644;-4.5358802608626885;0.5681397882750623;4.587435419954447
100.8;-455.3894449271415;1.986179747628267;455.39377626515704;-4.438880784815734;0.5127115162482271;4.485589594534723
101.7;-459.5927555558432;2.1709406543843848;459.59788287451664;-4.512785147518178;0.5127115162482271;4.558840656330146
102.60000000000001;-464.1193977713681;2.7252233746527383;464.12739870653957;-4.461975898160245;0.4480451988835858;4.501531119417015
103.5;-468.59984976020394;2.9099842814088563;468.608885109751;-4.545118306200498;0.3695218135122358;4.571701851921137
104.4;-473.17268220241783;3.140935414854004;473.1831069025083;-4.461975898160245;0.31409354148540036;4.481737453577426
105.3;-477.0064710176073;3.46426700167721;477.01905049854173;-4.2033106287016775;0.2909984281408856;4.222044551189786
106.2;-479.73169439226;3.6952181351223574;479.74592571645144;-4.434261762146827;0.18476090675611784;4.444758149888381
107.10000000000001;-484.95119000812036;3.371886548299151;484.96291230277257;-4.425023716809022;0.12471361206037952;4.437949782877816
108.0;-490.0783051706026;2.863794054719827;490.08667245220835;-4.480451988835858;0.08776143070915596;4.495276508469593
108.9;-495.43637146653003;2.4018917878295323;495.44219365742555;-4.540499283531597;-0.013857068006708828;4.555946168298292
109.8;-500.79443776245745;1.8476090675611787;500.79784599485095;-4.558975374207205;-0.09238045337805892;4.578105830421371
110.7;-505.18250929791526;1.2471361206037956;505.1840486882395;-4.434261762146827;-0.16628481608050608;4.450531317720569
111.60000000000001;-508.46201539283635;1.0623752138476776;508.4631252494521;-4.337262286099866;-0.11085654405367071;4.360846120241993
112.5;-511.9724726212026;1.8014188408721492;511.97564183436333;-4.221786719377292;-0.25866526945856505;4.266828870734005
113.4;-515.3905493961907;0.5542827202683536;515.3908474509819;-4.383452512788892;-0.31409354148540036;4.427622717401991
114.3;-520.8409961454962;0.3233315868232063;520.8410965055924;-4.7021650769431975;-0.3556647455055269;4.745647044297779
115.2;-526.753345161692;0.1385706800670884;526.7533633882806;-4.646736804916367;-0.24942722412075907;4.695035800122634
116.10000000000001;-531.418558057284;0.8776143070915599;531.4192827274476;-4.531261238193798;-0.23557015611405027;4.5787638128395045
117.0;-535.3909175525406;0.5080924935793242;535.3911586454649;-4.480451988835858;-0.26328429212746796;4.5315657866489065
117.9;-540.2408913548886;-0.23095113344514734;540.2409407202963;-4.425023716809022;-0.24018917878295318;4.474365070073438
118.8;-545.0446749305477;-0.5542827202683536;545.0449567691462;-4.503547102180375;-0.24480820145185617;4.552824991335397
119.7;-550.217980319719;-1.2009458939147661;550.2192909542075;-4.619022668902943;-0.2540462467896621;4.668645739751587
120.60000000000001;-554.6522420818658;-1.478087254048943;554.6542115483946;-4.669831918260883;-0.4388071535457799;4.726770146318127
121.5;-558.6707918038114;-2.5866526945856503;558.6767798887474;-4.831497711672489;-0.33718865482991506;4.866924210092073
122.4;-563.7055265129156;-2.8176038280307973;563.71256816975;-4.752974326301137;-0.35566474550552696;4.789760261022693
123.3;-568.3707394085076;-3.233315868232063;568.379936087893;-4.475832966166957;-0.36490279084333277;4.513550594319687
124.2;-571.5116748233615;-3.5104572283662394;571.5224560499404;-4.503547102180368;-0.44342617621468283;4.535468775636948
125.10000000000001;-576.4540290790877;-3.556647455055269;576.4650010040795;-4.660593872923073;-0.3926169268567505;4.690973728694744
126.0;-581.9968562817713;-3.4180767749881804;582.0068934047985;-4.692927031605393;-0.31871256415430327;4.717708391496834
126.9;-587.1701616709425;-3.4180767749881804;587.1801103626727;-4.748355303632229;-0.2863794054719827;4.772049757993583
127.8;-592.52822796687;-3.4180767749881804;592.5380866968795;-4.776069439645641;-0.18937992942502083;4.796696106810799
128.70000000000002;-597.9786747161754;-3.0947451881649743;597.9866828476144;-4.868449893023706;-0.12471361206037952;4.889484039184678
129.6;-603.3367410121028;-2.7252233746527383;603.3428957877495;-4.886925983699314;-0.018476090675611755;4.892975284053291
130.5;-607.5400516408046;-2.771413601341768;607.5463727824084;-4.886925983699314;0.06466631736464126;4.896014016038875
131.4;-612.5747863499088;-2.1709406543843848;612.5786332014537;-4.762212371638941;0.18014188408721493;4.777350287556496
132.3;-615.992863124897;-1.4318970273599134;615.9945273700937;-4.979306437077378;0.2725223374652738;4.997145774726066
133.20000000000002;-621.3047391941353;-0.785233853713501;621.3052354014873;-4.854592825016994;0.37875985885004165;4.88612849448317
