Time (s),Position X (m),Position Y (m),Distance (m),Speed X (m/s),Speed Y (m/s),Speed (m/s)
30.099999999999998,93.43054558880603,93.9819061046198,132.5211889626694,3.6232262467761984,3.716313087108393,5.1968939852992735
30.799999999999997,95.8364823850843,96.73870868368864,136.1727179494268,3.5587815111616026,3.6303867729555996,5.0897601828775825
31.499999999999996,97.74118234880459,98.89402706368793,139.04447963085664,3.5372999326234043,3.6733499300319976,5.105148299664907
32.199999999999996,100.34761387810605,101.75107700926837,142.90880058126413,3.5372999326234043,3.680510456211396,5.110187446084126
32.9,103.0041690906633,104.40763222182562,146.6656487260257,3.4585341446500095,3.6590288776731974,5.039779879132824
33.599999999999994,105.15948747066258,106.81356901810389,149.8921489987974,3.4155709875736107,3.637547299135,4.993854671502371
34.3,107.61554795019664,109.21950581438216,153.32973166010214,3.315323621062017,3.5731025635204032,4.877048273087068
35.0,109.67061896368433,111.32470051112564,156.27166604272657,3.315323621062017,3.580263089699801,4.882135189266421
35.699999999999996,112.32717417624158,114.03137940693868,160.06420445517765,3.365447304317814,3.601744668238001,4.931182038653756
36.4,114.78323465577564,116.73805830275174,163.7161116516622,3.401249935214813,3.6303867729555996,4.976468259649441
37.099999999999994,117.23929513530972,119.39461351530899,167.33238198356665,3.4155709875736107,3.6089051944174018,4.97030129362256
37.8,119.74547929809957,122.00104504461045,170.94804709123957,3.537299932623405,3.6948315085701955,5.116355111705902
38.5,122.50228187716841,124.7578476236793,174.8465887822991,3.508657827905806,3.6447078253143985,5.060182266349671
39.199999999999996,124.90821867344668,127.26403178646916,178.32048922858252,3.4585341446500086,3.5802630896998027,4.979282663382799
39.9,127.21390810321336,129.46947384972424,181.50956744430098,3.5229788802646054,3.6232262467761984,5.054632059150022
40.599999999999994,129.82033963251482,132.17615274553728,185.26698555574626,3.5516209849822054,3.6805104562113953,5.11557403396109
41.3,132.47689484507208,134.98307900786193,189.13106377915548,3.6590288776731965,3.7592762441847887,5.2473971995570015
42.0,135.2838211073967,137.63963422041917,192.99321532569195,3.6303867729555996,3.6876709823907996,5.177168001513095
42.699999999999996,137.73988158693078,139.84507628367427,196.28785072023277,3.6661894038525964,3.6733499300319954,5.191839184694183
43.4,140.44656048274382,142.4515078129757,200.04416619742577,3.659028877673196,3.630386772955602,5.156026070742461
44.099999999999994,142.8524972790221,144.8073209259982,203.41090475345231,3.6661894038525964,3.5444604588028055,5.1035850013725375
44.8,145.40880512506774,146.81226825623008,206.6338856974799,3.6375472991349986,3.4513736184706083,5.01970946697368
45.5,147.9651129711134,148.91746295297355,209.9287627479965,3.6089051944173995,3.437052566111808,4.989666681560356
46.199999999999996,150.17055503436848,151.32339974925182,213.18997844880553,3.6447078253144,3.4513736184706105,5.025649023644372
46.9,152.72686288041416,153.6290891790185,216.62731057571582,3.6661894038525986,3.437052566111812,5.030829654487296
47.599999999999994,155.483665459483,156.23552070831997,220.4193915147129,3.6733499300319954,3.4155709875736107,5.020517806852945
48.3,158.19034435529605,158.8920759208772,224.21167863805167,3.651868351493797,3.3797683566766152,4.980429017154626
49.0,160.84689956785328,161.29801271715547,227.7910753455779,3.6017446682380005,3.3224841472414135,4.904966834169056
49.699999999999996,162.95209426459678,163.10246531436417,230.55541463353535,3.6303867729555996,3.3296446734208183,4.930757490231865
50.4,165.859267893433,165.75902052692143,234.48955122177605,3.6948315085701977,3.3869288828560116,5.016896612852416
51.099999999999994,168.71631783901347,168.51582310599028,238.45917583990015,3.7163130871083956,3.4943367755470063,5.104704434008721
51.8,171.4229967348265,171.27262568505913,242.32242182390533,3.7091525609289944,3.5731025635204015,5.153358335424682
52.5,173.92918089761636,173.92918089761636,245.97300651785253,3.737794665646593,3.6017446682380005,5.193829211698665
53.199999999999996,176.33511769389463,176.53561242691782,249.51732642657626,3.7163130871083916,3.6017446682380005,5.178095109836653
53.9,178.7410544901729,178.8413018566845,252.84891894183113,3.6518683514937975,3.644707825314397,5.166186182491237
54.599999999999994,181.0467439199396,181.74847548552074,256.5354397063359,3.544460458802803,3.616065720596802,5.072828269666058
55.3,183.00156756691567,184.20453596505482,259.65531922541004,3.3797683566766152,3.551620984982203,4.913137178108567
56.0,184.5052780645896,186.1593596120309,262.10208851677044,3.4513736184706096,3.737794665646594,5.096464166906701
56.699999999999996,187.11170959389105,189.26702797389032,266.1443212717829,3.616065720596802,4.145944657872369,5.512038402195765
57.4,191.17172793761063,194.78063313202802,272.9214623402958,3.207915728371023,3.752115718005391,4.944863252854177
58.099999999999994,191.17172793761063,194.78063313202802,272.9214623402958,3.1864341498328246,3.6876709823907974,4.884732996657279
